ФИО,Год_поступления,Форма_обучения,Средний_балл_аттестата,Общий_балл,Специальность,Адрес_регистрации,Телефон,ЦТ_Русский язык,ЦТ_Химия,ЦТ_Физика,ЦТ_Математика,ЦТ_История,ЦТ_Биология
Лаврентьев Мирослав Гаврилович,2019,Бюджет,7.2,338.2,Лечебное дело,клх Ребриха,+7 (914) 758-14-70,76.0,98.0,92.0,,,
Назар Измаилович Кабанов,2020,Целевое,8.2,329.5,История,п. Витим,+7 (818) 952-2826,73.0,,,84.0,91.0,
Аникита Ермолаевич Блинов,2022,Бюджет,5.4,238.3,Лечебное дело,г. Нефедова,8 356 431 32 06,71.0,,49.0,64.0,,
Василиса Филипповна Шарова,2023,Целевое,5.8,269.1,Информатика,г. Катайск,84540579084,,,68.0,71.0,72.0,
Тимофеева Вера Эльдаровна,2022,Бюджет,6.8,344.5,Прикладная математика,клх Богучар,+7 284 704 16 57,,83.0,,,98.0,95.0
Кудряшов Аполлинарий Яковлевич,2020,Целевое,7.1,277.5,Кибербезопасность,клх Верхний Тагил,+7 537 306 8415,,77.0,,,67.0,62.0
Нонна Викторовна Суворова,2020,Платка,8.5,291.9,Прикладная информатика,с. Находка,8 (008) 868-06-33,62.0,,,93.0,,52.0
Дарья Евгеньевна Харитонова,2021,Платка,7.7,224.4,Международные отношения,д. Игарка,88913561270,,36.0,,42.0,69.0,
Тит Елизарович Алексеев,2023,Бюджет,5.7,320.3,История,г. Абакан,+7 901 056 80 98,,86.0,,87.0,,90.0
Доронина Татьяна Афанасьевна,2021,Целевое,5.4,250.8,Лечебное дело,к. Сосновый Бор,8 821 367 9661,,,58.0,73.0,66.0,
Марина Никифоровна Маркова,2021,Бюджет,8.7,318.4,Психология,с. Терней,82881305611,,,75.0,72.0,,84.0
Галина Кирилловна Сысоева,2022,Целевое,8.7,353.7,Философия,д. Семлячики,+7 (675) 147-2406,100.0,81.0,86.0,,,
Белов Зиновий Даниилович,2020,Целевое,8.5,271.8,Информатика,к. Курганинск,8 350 890 5967,,62.0,60.0,65.0,,
Кира Вячеславовна Емельянова,2020,Бюджет,6.7,353.3,Информатика,ст. Златоуст,8 (168) 336-65-80,100.0,95.0,,,,91.0
Щербаков Эдуард Демидович,2020,Целевое,4.4,324.6,Прикладная математика,к. Люберцы,8 335 020 3536,,92.0,100.0,89.0,,
Надежда Наумовна Орехова,2021,Платка,5.1,308.1,История,ст. Беслан,8 587 166 3961,,87.0,87.0,83.0,,
Доронин Филимон Гордеевич,2021,Бюджет,6.5,311.3,Международные отношения,к. Торжок,8 986 437 5874,84.0,,,,77.0,85.0
Евпраксия Сергеевна Волкова,2020,Платка,8.1,290.2,История,п. Краснодар,+7 (678) 615-87-93,77.0,59.0,73.0,,,
Борислав Харламович Уваров,2022,Целевое,7.0,309.3,Кибербезопасность,к. Котельнич,8 (190) 668-67-90,,70.0,82.0,,,87.0
Евпраксия Афанасьевна Сафонова,2023,Платка,7.2,257.2,Кибербезопасность,п. Соль-Илецк,8 850 255 3230,58.0,,,71.0,56.0,
Гуляева Василиса Юльевна,2020,Целевое,7.3,218.1,Радиофизика,клх Дудинка,+7 (268) 165-1562,,,,52.0,47.0,46.0
Федосеев Никифор Яковлевич,2022,Целевое,7.4,341.1,Информатика,к. Биробиджан,87105771307,,84.0,,,83.0,100.0
Брагина Юлия Кузьминична,2019,Целевое,7.3,226.7,Философия,п. Малгобек,8 703 273 2786,48.0,65.0,,41.0,,
Быков Мир Елизарович,2019,Платка,8.4,313.0,Прикладная математика,к. Бирск,8 789 603 03 05,85.0,,70.0,,,74.0
Рожкова Вера Аскольдовна,2021,Целевое,8.2,329.0,Психология,г. Люберцы,8 187 891 3912,,,76.0,71.0,100.0,
тов. Калинин Самсон Егорович,2023,Целевое,6.9,369.0,Кибербезопасность,с. Королев,+7 (760) 878-0346,100.0,100.0,100.0,,,
