ФИО,Год_поступления,Форма_обучения,Средний_балл_аттестата,Общий_балл,Специальность,Адрес_регистрации,Телефон,ЦТ_Русский язык,ЦТ_Химия,ЦТ_Физика,ЦТ_Математика,ЦТ_История,ЦТ_Биология
Ильин Егор Марсович,2019,Бюджет,7.2,338.2,Лечебное дело,к. Ханты-Мансийск,8 766 764 8311,76.0,98.0,92.0,,,
Мина Антипович Дмитриев,2020,Целевое,8.2,329.5,История,к. Урюпинск,+7 (831) 319-67-12,73.0,,,84.0,91.0,
Ия Вениаминовна Виноградова,2022,Бюджет,5.4,238.3,Лечебное дело,г. Онега,8 417 402 8134,71.0,,49.0,64.0,,
Ольга Геннадиевна Константинова,2023,Целевое,5.8,269.1,Информатика,клх Нарьян-Мар,+7 849 660 50 99,,,68.0,71.0,72.0,
Анжелика Николаевна Осипова,2022,Бюджет,6.8,344.5,Прикладная математика,ст. Белый Яр (Томск.),8 (801) 406-4837,,83.0,,,98.0,95.0
Щукин Фирс Харламович,2020,Целевое,7.1,277.5,Кибербезопасность,ст. Аргаяш,8 (120) 800-66-92,,77.0,,,67.0,62.0
Марина Никифоровна Рогова,2020,Платка,8.5,291.9,Прикладная информатика,клх Южно-Курильск,+72878984584,62.0,,,93.0,,52.0
Крюков Савватий Бенедиктович,2021,Платка,7.7,224.4,Международные отношения,клх Верещагино (Перм.),+7 (040) 189-87-34,,36.0,,42.0,69.0,
Воронова Майя Аркадьевна,2023,Бюджет,5.7,320.3,История,ст. Игнашино,+7 990 732 4969,,86.0,,87.0,,90.0
Емельян Харламович Рогов,2021,Целевое,5.4,250.8,Лечебное дело,с. Петрозаводск,8 (774) 102-3768,,,58.0,73.0,66.0,
Анжелика Архиповна Турова,2021,Бюджет,8.7,318.4,Психология,г. Ардон,+7 428 571 1010,,,75.0,72.0,,84.0
Костин Руслан Васильевич,2022,Целевое,8.7,353.7,Философия,д. Чехов,8 (094) 214-2672,100.0,81.0,86.0,,,
Беспалов Трофим Фомич,2020,Целевое,8.5,271.8,Информатика,с. Дудинка,8 765 686 9754,,62.0,60.0,65.0,,
Логинов Назар Юльевич,2020,Бюджет,6.7,353.3,Информатика,п. Киренск,8 (307) 674-1048,100.0,95.0,,,,91.0
Турова Эмилия Николаевна,2020,Целевое,4.4,324.6,Прикладная математика,д. Каменск-Уральский,8 (189) 910-8428,,92.0,100.0,89.0,,
Лариса Кирилловна Логинова,2021,Платка,5.1,308.1,История,г. Воркута,8 627 131 0303,,87.0,87.0,83.0,,
Варфоломей Устинович Симонов,2021,Бюджет,6.5,311.3,Международные отношения,с. Урай,82902268339,84.0,,,,77.0,85.0
Наумова Алина Мироновна,2020,Платка,8.1,290.2,История,клх Троицко-Печорск,+70216104561,77.0,59.0,73.0,,,
Светлана Геннадьевна Кудряшова,2022,Целевое,7.0,309.3,Кибербезопасность,г. Боровск,+7 (694) 447-5433,,70.0,82.0,,,87.0
Эмилия Антоновна Белозерова,2023,Платка,7.2,257.2,Кибербезопасность,ст. Киренск,+7 (349) 121-4084,58.0,,,71.0,56.0,
Пахом Бориславович Галкин,2020,Целевое,7.3,218.1,Радиофизика,г. Ижевск,+7 582 030 68 46,,,,52.0,47.0,46.0
Ираида Яковлевна Исаева,2022,Целевое,7.4,341.1,Информатика,ст. Апатиты,88768369782,,84.0,,,83.0,100.0
Зайцева Агафья Петровна,2019,Целевое,7.3,226.7,Философия,д. Снежинск,8 (742) 940-92-25,48.0,65.0,,41.0,,
Силин Алексей Гурьевич,2019,Платка,8.4,313.0,Прикладная математика,с. Сковородино,8 (554) 494-53-78,85.0,,70.0,,,74.0
Никифоров Станислав Эдгардович,2021,Целевое,8.2,329.0,Психология,ст. Лянтор,+7 982 700 6225,,,76.0,71.0,100.0,
Януарий Фокич Брагин,2023,Целевое,6.9,369.0,Кибербезопасность,д. Новый Уренгой,8 205 430 61 25,100.0,100.0,100.0,,,
Самойлова Пелагея Леонидовна,2023,Целевое,6.4,234.0,Международные отношения,клх Диксон,+7 (196) 475-23-02,,59.0,,55.0,56.0,
Ангелина Григорьевна Тарасова,2019,Бюджет,6.0,335.2,Прикладная математика,клх Агата,+7 (278) 782-1035,90.0,85.0,100.0,,,
Емельянова Зоя Дмитриевна,2020,Целевое,7.8,314.1,Прикладная информатика,к. Учалы,8 (837) 616-2064,59.0,,,100.0,,77.0
Тимофеев Платон Матвеевич,2023,Бюджет,7.9,331.6,Психология,п. Кулу,86042097535,100.0,,77.0,,,76.0
Аристарх Дорофеевич Никифоров,2023,Целевое,7.9,331.5,Психология,ст. Красноуфимск,8 (396) 147-46-93,,,74.0,,94.0,85.0
Серафим Иларионович Тимофеев,2022,Целевое,8.3,288.9,Информатика,д. Яшкуль,8 020 938 6301,83.0,70.0,,,,53.0
